Location,Latitude,Longitude
376 Clementi Ave 4 ,1.3180616,103.7667267
377 Bukit Batok,1.3594015,103.750147
383 Bukit Batok West Ave 5,1.3623139,103.7522269
384 Bukit Batok,1.3629564,103.7521929
388 Bukit Batok West Avenue 5,1.364848,103.7521671
4 Bukit Street 41,1.3563502,103.7406611
4 Choa Chu Kang Drive,1.3833625,103.7473996
4 Hillview Rise,1.3635523,103.764315
4 Teck Whye Ave,1.3819375,103.7527692
4 Teck Whye Lane,1.3807339,103.7535199
403 Choa Chu Kang,1.3857186,103.7445876
407 Fajar Rd ,1.3808366,103.7712358
411 Bukit Batok West Ave 8,1.3583048,103.7419226
412 Choa Chu Kang Ave 3,1.3816301,103.7421019
413 Bukit Batok West Ave 4 ,1.3637781,103.7467273
413 Choa Chu Kang Ave 3,1.3813705,103.7426889
413 Saujana Road,1.3823844,103.7690484
414 Bukit Batok West Ave 4,1.3635685,103.7459669
416 Bukit Batok West Ave 4,1.363239,103.745998
416 Choa Chu Kang ,1.3857186,103.7445876
424 Bukit Batok St 52,1.3549453,103.751777
433 Bukit Batok West Ave 8,1.3613346,103.7417993
435 Bukit Batok,1.3593415,103.7403713
437 Choa Chu Kang,1.3857186,103.7445876
438 Bukit Batok West Ave 8,1.3574875,103.7408012
440 Bukit Batok West Ave 8,1.3556137,103.7392351
441 Bukit Batok West Ave 8 ,1.3558106,103.7389287
445 Fajar Rd,1.3837919,103.770489
446 Choa Chu Kang ,1.3857186,103.7445876
448 Bukit Batok West ,1.3521937,103.7404834
45 Choa Chu Kang Loop,1.3862895,103.7423392
450 Bukit Batok,1.3521414,103.7440846
450 Bukit Batok Ave,1.3647903,103.7474092
462 Choa Chu Kang,1.3857186,103.7445876
463 Bukit Batok,1.3568121,103.7414866
464 Bukit Batok West Ave 8,1.3575182,103.7418455
465 Bukit Batok St 41,1.3567011,103.7410287
471 Choa Chu Kang Ave 3 ,1.3786656,103.7373905
484 Segar Rd,1.3884213,103.7719078
484 Segar Road,1.3884213,103.7719078
485 Senja Rd,1.3877905,103.7637237
487 Choa Chu Kang,1.3857186,103.7445876
488 Choa Chu Kang,1.3857186,103.7445876
50 Bukit Batok Ave 3,1.3520458,103.747842
50 Bukit Batok West,1.3578118,103.7495161
50 Bukit Batok West ,1.352117,103.7567405
50 Bukit Batok West Ave 3,1.3519951,103.7477631
50 Choa Chu Kang North 5,1.393506,103.7509953
50 Hazel Pk,1.3716638,103.7647043
50 Woodlands Road,1.3828406,103.7602518
503 Bukit Batok St 52,1.3515693,103.7534488
503 Bukit Batok St West,1.3583621,103.7503809
505 Jelapang Rd,1.3855621,103.7638202
506 Bukit Batok Street 52,1.3522453,103.7546864
510 Bukit Batok,1.3556584,103.7547317
510 Old Choa Chu Kang Rd,1.378017,103.7176284
519 Keat Hong,1.3754921,103.7464597
52 Chun Tin Road,1.3418972,103.7733926
52 Hume Ave,1.3591156,103.7657481
528 Choa Chu Kang St 51,1.3923467,103.7417006
53 Choa Chu Kang Rd,1.3781111,103.757438
530 Bukit Batok,1.3398959,103.7561619
537 Choa Chu Kang,1.3857186,103.7445876
537 Choa Chu Kang St 51,1.3921366,103.7441027
541 Choa Chu Kang ,1.3857186,103.7445876
542 Choa Chu Kang,1.3857186,103.7445876
546 Segar Vale ,1.3885614,103.7695142
548 Choa Chu Kang Street 52,1.3935314,103.7418913
55 Choa Chu Kang Loop,1.3873535,103.743769
551 Choa Chu Kang ,1.3857186,103.7445876
56 Bukit Batok East,1.3491365,103.7575371
56 Toh Tuck Rd,1.3417745,103.7686659
6 Teck Whye Ave,1.3816577,103.7535609
603 Choa Chu Kang St 62,1.3978581,103.7445219
619 Choa Chu Kang North 7,1.4002446,103.7475795
627 Senja Rd,1.3855396,103.759515
634 Bukit Batok Ctrl,1.3497842,103.7515943
634 Senja Road,1.3862993,103.7575884
635 Senja Road,1.3869322,103.757484
637 Choa Chu Kang Ave 6,1.3741442,103.7417023
638 Jurong West St 61,1.3416945,103.6971571
638 Senja Close,1.3889281,103.7608284
643 Senja Cl,1.3879058,103.7630441
646 Senja,1.3896253,103.7638051
646 Senja Road,1.3877905,103.7637237
669 Choa Chu Kang,1.3857186,103.7445876
670 Choa Chu Kang,1.3857186,103.7445876
673 Choa Chu Kang,1.3857186,103.7445876
679 Choa Chu Kang Crescent,1.402625,103.744709
682 Choa Chu Kang,1.3857186,103.7445876
684 Choa Chu Kang Crescent,1.4041475,103.7464127
685 Choa Chu Kang,1.3857186,103.7445876
686 Choa Chu Kang Cres,1.4042268,103.7489437
687 Choa Chu Kang ,1.3857186,103.7445876
7 Choa Chu Kang Ave 4,1.3821271,103.7382834
7 Lily Ave,1.3305544,103.7933781
70 Choa Chu Kang Loop,1.3857403,103.7449136
70 Phoenix Rd,1.3765188,103.7565327
764 Woodlands Circle,1.445238,103.7967826
769 Choa Chu Kang St 54,1.394341,103.7506636
784 Choa Chu Kang,1.3857186,103.7445876
801 Keat Hong Close ,1.3753282,103.7434161
802 Bukit Batok West Ave 5 ,1.3589914,103.7520784
810 Choa Chu Kang,1.3857186,103.7445876
810 Choa Chu Kang Ave 7,1.3739577,103.7462426
812 Choa Chu Kang ,1.3857186,103.7445876
812 Choa Chu Kang Crescent,1.3997288,103.7506868
815 Choa Chu Kang Ave 4,1.3774514,103.7370501
815 Choa Chu Kang Ave 7,1.376581,103.7467202
817 Keat Hong,1.3771548,103.7494111
82 Jln Dermawan ,1.3603272,103.7593175
820 Keat Hong Link,1.3748863,103.750319
820 Keat Hong Singapore 681820,1.3748863,103.750319
87 Cashew Road ,1.3729659,103.7678297
886 Upper Bukit Timah Road,1.3755968,103.76246
9 Choa Chu Kang Ave 4,1.3824235,103.7391444
9 Choa Chu Kang Ave 4 ,1.3824235,103.7391444
9 Jurong West St 52,1.3502613,103.7173125
91 Choa Chu Kang Road,1.378695,103.7588446
91 Hillview ,1.36711,103.7640493
91 Hillview Lk,1.36711,103.7640493
966 Dunearn Rd,1.3377858,103.7799552
BKE ,1.3600446,103.7810295
BUKIT BATOK ST 23,1.3394843,103.7581434
Bukit Batok East Ave 4,1.3482521,103.7570406
Bukit Batok Interchange,1.3503115,103.751587
Bukit Batok West Ave 6,1.3460913,103.7468468
Hillview Way,1.3539092,103.7597199
JURONG EAST AVE 1,1.346826,103.7316781
KING ALBERT PARK STN,1.3359688,103.782674
KJE,1.3644647,103.7066047
MWS Nursing Home,1.3956042,103.7520501
PIE,1.3427201,103.6863908
Penjuru Road,1.3246391,103.7373361
